ubicacion_ui,Currency_Confusion,False_Urgency,Nagging,Near_Miss,Playing_by_Appointment,Preselection,Price_Anchoring,Reward_Manipulation,Social_Proof,Sunk_Cost,Time_Obstruction
In_Game,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
Menu_Principal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.25,0.0
